PremiereDate;Title;Studio;KidsMovie;Rating;Genre;Copies;VisitorsOnPremiereWeekend;VisitorsOverall;ExpertsForacast
03.01.13;Jack Reacher;Paramount Pictures;no;16;ActionAdventure;489;232953;530581;207500
03.01.13;Silver Linings;Senator;no;12;Comedy;176;83801;316170;83500
03.01.13;The Sessions - Wenn Worte berühren;20th Century Fox;no;12;DramaArthouse;58;11978;40323;6495
10.01.13;Der Geschmack von Rost und Knochen;Wild Bunch;no;12;DramaArthouse;64;26161;167365;11025
10.01.13;Hannah Arendt;NFP;no;6;DramaArthouse;74;53769;426100;13765
10.01.13;Ritter Rost - Eisenhart und voll verbeult;Universum Film;yes;0;Family;465;98339;597848;104087
10.01.13;Schlussmacher;20th Century Fox;no;6;Comedy;450;457374;2481019;377500
17.01.13;Django Unchained;Sony Pictures Releasing;no;16;ActionAdventure;550;749735;4449354;
17.01.13;House at the End of the Street;Universum Film;no;16;Thriller;177;53520;145919;
17.01.13;Mavericks;Senator;no;6;ActionAdventure;83;3316;14892;
24.01.13;Flight;Studiocanal;no;12;DramaArthouse;342;144976;603978;159500
24.01.13;Frankenweenie;Walt Disney;yes;12;Animation;165;10901;38888;43250
24.01.13;Gangster Squad;Warner Bros.;no;16;Thriller;253;72630;254111;59250
24.01.13;Lincoln;20th Century Fox;no;12;DramaArthouse;160;66193;564823;68149
24.01.13;Movie 43;Constantin Film;no;16;Comedy;203;56529;171059;58250
24.01.13;Quartett;DCM;no;0;DramaArthouse;125;40910;343503;29750
31.01.13;Fünf Freunde 2;Constantin Film;yes;0;Family;446;208465;1090607;131287
31.01.13;Last Stand;Splendid;no;16;ActionAdventure;457;69039;132627;113250
31.01.13;The Impossible;Concorde;no;12;DramaArthouse;74;10252;37143;17012
31.01.13;Zero Dark Thirty;Universal Pictures;no;16;Thriller;296;63454;187671;72875
07.02.13;Cirque du Soleil: Traumwelten;Paramount Pictures;no;6;Fantasy;110;10932;47070;11712
07.02.13;Kokowääh 2;Warner Bros.;no;6;Comedy;690;514707;2729268;596250
07.02.13;Parker;Constantin Film;no;16;ActionAdventure;239;104599;310246;62212
14.02.13;Celeste + Jesse;DCM;no;0;Comedy;56;7540;22734;10060
14.02.13;Findet Nemo 3D;Walt Disney;yes;0;Animation;309;50739;157074;75750
14.02.13;Quellen des Lebens;Warner Bros.;no;12;DramaArthouse;84;22972;90461;14300
14.02.13;Stirb langsam - Ein guter Tag zum Sterben;20th Century Fox;no;16;ActionAdventure;660;527325;1547104;568333
21.02.13;Der Hypnotiseur;Prokino;no;16;Thriller;103;14244;43099;16077
21.02.13;Ghost Movie;Falcom;yes;16;TeenagerMovie;346;53948;112787;58825
21.02.13;Les Misérables;Universal Pictures;no;12;DramaArthouse;377;119770;564080;330964
21.02.13;The Master;Senator;no;12;DramaArthouse;64;13527;47429;18075
21.02.13;Warm Bodies;Concorde;yes;12;TeenagerMovie;304;80167;228416;132562
28.02.13;3096 Tage;Constantin Film;no;16;DramaArthouse;325;145476;541773;74600
28.02.13;Die Bestimmer - Kinder haften für ihre Eltern;20th Century Fox;yes;0;Family;394;74338;246561;64416
28.02.13;Get the Gringo;Concorde;no;18;ActionAdventure;17;1860;19453;6880
28.02.13;Gold - Du kannst mehr als Du denkst;Warner Bros.;no;0;DramaArthouse;53;5776;33455;9040
28.02.13;Hänsel und Gretel: Hexenjäger;Paramount Pictures;no;16;ActionAdventure;408;360916;1344688;266700
28.02.13;Hyde Park am Hudson;Tobis;no;0;DramaArthouse;65;13030;35371;9312
28.02.13;The Crime;Universum Film;no;16;ActionAdventure;98;4670;25691;12304
07.03.13;Die fantastische Welt von Oz;Walt Disney;yes;6;Family;548;273230;1134741;293350
07.03.13;Liebe und andere Turbulenzen;Warner Bros.;no;0;Comedy;102;7116;13193;15375
07.03.13;Nachtzug nach Lissabon;Concorde;no;12;DramaArthouse;179;86262;716815;58875
07.03.13;Safe Haven - Wie ein Licht in der Nacht;Senator;no;12;DramaArthouse;289;89670;450502;108307
07.03.13;Shootout - Keine Gnade;Constantin Film;no;16;ActionAdventure;227;45500;95253;40450
14.03.13;Der Mondmann;Neue Visionen;yes;0;Family;176;8349;46468;16916
14.03.13;Hai-Alarm am Müggelsee;Warner Bros.;no;12;Comedy;67;15122;94730;17973
14.03.13;Hitchcock;20th Century Fox;no;12;DramaArthouse;104;31625;159495;46042
14.03.13;Immer Ärger mit 40;Universal Pictures;no;12;Comedy;338;86539;295598;94833
14.03.13;Jack and the Giants;Warner Bros.;yes;12;Family;405;68751;178608;104400
14.03.13;Rubinrot;Concorde;yes;12;TeenagerMovie;450;113260;482263;254533
14.03.13;Song for Marion;Ascot Elite;no;0;DramaArthouse;77;11525;33014;13680
21.03.13;Der Nächste, bitte!;Universum Film;no;6;DramaArthouse;245;54823;205538;49200
21.03.13;Die Croods;20th Century Fox;yes;0;Animation;728;356978;2321170;310350
21.03.13;Ein Mordsteam;Senator;no;12;DramaArthouse;208;65448;274890;74525
21.03.13;Kon-Tiki;DCM;no;12;DramaArthouse;96;17098;103664;16750
21.03.13;Ostwind;Constantin Film;yes;0;Family;393;87103;820121;104675
21.03.13;Spring Breakers;Wild Bunch;no;16;ActionAdventure;128;38513;164855;36900
21.03.13;The Best Offer - Das höchste Gebot;Warner Bros.;no;6;DramaArthouse;53;6538;26009;3700
28.03.13;G.I. Joe 3D: Die Abrechnung;Paramount Pictures;no;16;ActionAdventure;461;313930;800999;260650
28.03.13;Heute bin ich blond;Universum Film;no;6;DramaArthouse;134;24636;119827;33075
28.03.13;Mitternachtskinder;Concorde;no;12;DramaArthouse;40;8309;33217;10150
28.03.13;Voll abgezockt;Universal Pictures;no;12;Comedy;415;175152;579333;141500
04.04.13;Beautiful Creatures - Eine unsterbliche Liebe;Concorde;yes;12;TeenagerMovie;312;38973;83519;76000
04.04.13;Dead Man Down;Wild Bunch;no;16;Thriller;139;24993;70610;19662
04.04.13;Der unglaubliche Burt Wonderstone;Warner Bros.;no;12;Comedy;155;21180;32254;26170
11.04.13;Das Wochenende;Universum Film;no;12;DramaArthouse;80;16686;60369;16744
11.04.13;Ginger & Rosa;Concorde;no;12;DramaArthouse;55;4796;13920;8869
11.04.13;Kiss the Coach;Splendid;no;0;Comedy;152;15581;41445;29166
11.04.13;Mademoiselle Populaire;Studiocanal;no;0;DramaArthouse;70;12227;53088;13608
11.04.13;Oblivion;Universal Pictures;no;12;ActionAdventure;600;242350;843425;282500
11.04.13;Thor - Ein hammermäßiges Abenteuer;Koch Media;yes;6;Family;368;9639;46337;33392
18.04.13;Broken City;Universum Film;no;12;Thriller;175;29744;92173;35074
18.04.13;Das hält kein Jahr...!;Studiocanal;no;12;Comedy;317;104944;542304;102296
18.04.13;Das Leben ist nichts für Feiglinge;Warner Bros.;no;12;DramaArthouse;90;25881;273975;23016
18.04.13;Mama;Universal Pictures;no;16;Horror;328;140026;571518;92370
18.04.13;Unterwegs mit Mum;Paramount Pictures;no;0;Comedy;101;9231;30478;17460
25.04.13;Scary Movie 5;Constantin Film;yes;12;TeenagerMovie;438;251867;790931;245800
25.04.13;Side Effects;Senator;no;12;Thriller;139;48772;237877;44664
01.05.13;Iron Man 3;Concorde;no;12;ActionAdventure;618;516185;1907885;
02.05.13;Charlies Welt - Wirklich nichts ist wirklich;Koch Media;no;0;Comedy;66;1162;11760;6900
02.05.13;Ohne Gnade!;Senator;no;16;Comedy;65;1913;5139;5445
02.05.13;Passion;Ascot Elite;no;16;Thriller;39;2604;17730;6537
